Feature,Importance
synopsis_tfidf_266,0.004888979425545063
synopsis_tfidf_262,0.004888979425544971
synopsis_tfidf_635,0.00488897942554488
Genres_Suspense,0.004685271949480771
synopsis_tfidf_101,0.004685271949480771
synopsis_tfidf_581,0.004685271949480681
synopsis_tfidf_94,0.004685271949480681
synopsis_tfidf_526,0.004685271949480681
synopsis_tfidf_487,0.00468527194948059
synopsis_tfidf_928,0.00468527194948059
synopsis_tfidf_793,0.00468527194948059
synopsis_tfidf_728,0.004481564473416391
synopsis_tfidf_151,0.0044815644734163
synopsis_tfidf_559,0.0044815644734163
synopsis_tfidf_696,0.0044815644734163
synopsis_tfidf_506,0.0044815644734163
synopsis_tfidf_378,0.0044815644734162085
synopsis_tfidf_322,0.0044815644734162085
Genres_Slice of Life,0.004481564473415935
synopsis_tfidf_983,0.004277856997352009
synopsis_tfidf_917,0.004277856997352009
synopsis_tfidf_465,0.004277856997352009
synopsis_tfidf_219,0.004277856997351917
synopsis_tfidf_655,0.004277856997351917
synopsis_tfidf_558,0.004277856997351917
synopsis_tfidf_593,0.004277856997351917
synopsis_tfidf_615,0.004277856997351917
synopsis_tfidf_343,0.004277856997351917
synopsis_tfidf_982,0.004277856997351827
synopsis_tfidf_377,0.004074149521287628
synopsis_tfidf_535,0.004074149521287537
synopsis_tfidf_139,0.004074149521287537
synopsis_tfidf_823,0.003870442045223246
synopsis_tfidf_810,0.0038704420452231555
synopsis_tfidf_682,0.0038704420452231555
synopsis_tfidf_425,0.003870442045223064
synopsis_tfidf_551,0.003870442045222973
synopsis_tfidf_925,0.003666734569158865
synopsis_tfidf_708,0.003666734569158865
synopsis_tfidf_110,0.003666734569158865
synopsis_tfidf_849,0.003666734569158865
synopsis_tfidf_27,0.003666734569158774
synopsis_tfidf_272,0.003666734569158774
synopsis_tfidf_242,0.003666734569158774
synopsis_tfidf_217,0.003666734569158774
synopsis_tfidf_897,0.003666734569158774
synopsis_tfidf_899,0.003666734569158774
synopsis_tfidf_505,0.003666734569158774
synopsis_tfidf_396,0.003666734569158774
